Date,Open,High,Low,Close,Adj Close,Volume
2017-05-18,1299.000000,1343.000000,1296.050049,1314.550049,1311.166260,1210985
2017-05-19,1324.000000,1333.900024,1265.550049,1289.150024,1285.831665,1167010
2017-05-22,1299.000000,1304.000000,1237.349976,1242.150024,1238.952637,873873
2017-05-23,1249.900024,1265.000000,1190.550049,1233.750000,1230.574219,1348383
2017-05-24,1234.000000,1254.900024,1210.000000,1224.349976,1221.198364,787101
2017-05-25,1230.000000,1268.000000,1228.250000,1258.849976,1255.609619,905807
2017-05-26,1261.699951,1326.699951,1261.699951,1317.800049,1314.407959,1306793
2017-05-29,1319.400024,1333.000000,1301.900024,1307.449951,1304.084473,652289
2017-05-30,1305.199951,1324.900024,1303.699951,1321.550049,1318.148315,513005
2017-05-31,1323.000000,1334.900024,1316.099976,1326.949951,1323.534302,726284
2017-06-01,1334.000000,1339.000000,1320.250000,1327.349976,1323.933228,387968
2017-06-02,1332.400024,1365.000000,1318.000000,1361.250000,1357.745972,668081
2017-06-05,1368.550049,1372.650024,1348.050049,1363.099976,1359.591187,570009
2017-06-06,1363.400024,1367.900024,1325.000000,1336.650024,1333.209351,601678
2017-06-07,1341.099976,1360.000000,1335.099976,1343.150024,1339.692627,550988
2017-06-08,1344.900024,1372.000000,1344.699951,1361.699951,1358.194824,570819
2017-06-09,1358.000000,1382.000000,1343.699951,1376.849976,1373.305786,530582
2017-06-12,1369.949951,1383.000000,1356.550049,1364.949951,1361.436401,370028
2017-06-13,1374.000000,1380.000000,1361.000000,1371.500000,1367.969604,435644
2017-06-14,1374.199951,1375.000000,1354.000000,1361.000000,1357.496704,634727
2017-06-15,1361.099976,1413.000000,1352.199951,1405.250000,1401.632813,1569774
2017-06-16,1415.000000,1424.849976,1403.300049,1410.300049,1406.669800,824516
2017-06-19,1405.199951,1421.699951,1395.599976,1399.849976,1396.246582,426223
2017-06-20,1407.699951,1432.900024,1395.050049,1409.599976,1405.971558,781161
2017-06-21,1404.800049,1426.000000,1401.000000,1416.650024,1413.003418,449181
2017-06-22,1419.000000,1427.000000,1395.300049,1401.800049,1398.191650,477586
2017-06-23,1405.000000,1415.500000,1366.000000,1400.750000,1397.144409,620781
2017-06-27,1400.000000,1400.000000,1336.750000,1349.949951,1346.475098,1053829
2017-06-28,1341.000000,1377.000000,1313.900024,1372.349976,1368.817383,998218
